2023-05-19 22:16:42,043 | MainThread   | [WARNING ] | <module>            |: warning
2023-05-19 22:16:42,045 | MainThread   | [ERROR   ] | <module>            |: error
2023-05-19 22:16:42,045 | MainThread   | [CRITICAL] | <module>            |: critical
2023-05-19 22:16:42,051 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:1d:96:09:44
2023-05-19 22:16:48,279 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:1d:96:09:44
2023-05-19 22:28:21,693 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from c0:07:1d:96:09:44
2023-05-19 22:29:56,787 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-05-19 22:29:56,788 | MainThread   | [INFO    ] | <module>            |: info
2023-05-19 22:29:56,791 | MainThread   | [WARNING ] | <module>            |: warning
2023-05-19 22:29:56,793 | MainThread   | [ERROR   ] | <module>            |: error
2023-05-19 22:29:56,796 | MainThread   | [CRITICAL] | <module>            |: critical
2023-05-19 22:29:56,800 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:1d:96:09:44
2023-05-19 22:30:06,825 | MainThread   | [ERROR   ] | _connect            |: Device with address c0:07:1d:96:09:44 was not found.
2023-05-19 22:30:07,848 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-05-19 22:30:07,850 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:1d:96:09:44
2023-05-19 22:30:20,002 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:1d:96:09:44
2023-05-19 22:39:44,162 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from c0:07:1d:96:09:44
2023-05-19 22:39:57,209 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-05-19 22:39:57,210 | MainThread   | [INFO    ] | <module>            |: info
2023-05-19 22:39:57,211 | MainThread   | [WARNING ] | <module>            |: warning
2023-05-19 22:39:57,215 | MainThread   | [ERROR   ] | <module>            |: error
